,x1,y1,x2,y2,label,power,perc
345,356500,199500,328500,239500,7820_7922,1.72E-10,2.02E-05
346,339500,155500,356500,199500,7922_8259,1.71E-10,2.00E-05
347,355500,198500,328500,239500,7820_7926,1.68E-10,1.98E-05
348,567500,334500,522500,361500,6918_7107,1.68E-10,1.97E-05
349,354500,150500,355500,198500,7926_8360,1.67E-10,1.97E-05
350,492500,230500,471500,264500,7719_7845,1.67E-10,1.96E-05
351,568500,329500,522500,363500,6880_7122,1.66E-10,1.95E-05
352,350500,156500,356500,199500,7922_8247,1.65E-10,1.94E-05
353,354500,151500,362500,172500,7988_8346,1.64E-10,1.93E-05
354,345500,159500,355500,199500,7921_8170,1.64E-10,1.92E-05
355,472500,264500,495500,308500,7317_7720,1.64E-10,1.92E-05
356,354500,151500,356500,198500,7927_8346,1.61E-10,1.89E-05
357,328500,258500,334500,274500,7663_7742,1.61E-10,1.89E-05
358,568500,331500,521500,362500,6898_7113,1.61E-10,1.89E-05
359,347500,158500,363500,173500,7982_8199,1.61E-10,1.89E-05
360,344500,224500,330500,225500,7859_7863,1.60E-10,1.88E-05
361,343500,154500,355500,199500,7921_8283,1.60E-10,1.88E-05
362,471500,263500,452500,309500,7308_7721,1.60E-10,1.88E-05
363,325500,256500,318500,283500,7554_7757,1.60E-10,1.88E-05
364,472500,264500,452500,314500,7269_7720,1.57E-10,1.85E-05
365,326500,256500,318500,283500,7554_7758,1.57E-10,1.85E-05
366,346500,157500,362500,173500,7981_8220,1.57E-10,1.84E-05
367,327500,259500,334500,274500,7663_7736,1.56E-10,1.83E-05
368,329500,259500,334500,274500,7663_7738,1.55E-10,1.82E-05
369,399500,225500,369500,254500,7767_7861,1.54E-10,1.81E-05
370,363500,213500,328500,229500,7846_7880,1.54E-10,1.80E-05
371,566500,328500,521500,363500,6879_7127,1.53E-10,1.80E-05
372,472500,264500,448500,312500,7283_7720,1.53E-10,1.79E-05
373,348500,156500,363500,173500,7982_8245,1.50E-10,1.76E-05
374,338500,155500,356500,198500,7927_8258,1.49E-10,1.75E-05
375,345500,155500,355500,199500,7921_8264,1.48E-10,1.74E-05
376,472500,264500,446500,314500,7265_7720,1.48E-10,1.74E-05
377,507500,238500,472500,264500,7720_7822,1.48E-10,1.74E-05
378,349500,157500,362500,172500,7988_8223,1.45E-10,1.70E-05
379,350500,154500,356500,199500,7922_8284,1.43E-10,1.68E-05
380,326500,255500,334500,274500,7663_7763,1.41E-10,1.66E-05
381,356500,198500,325500,237500,7823_7927,1.37E-10,1.61E-05
382,347500,156500,362500,172500,7988_8244,1.36E-10,1.60E-05
383,355500,199500,326500,240500,7819_7921,1.36E-10,1.59E-05
